team,color_1,color_2,color_3
Iowa State Cyclones,#822433,#fdca2f,
Ithaca Bombers,#003b71,#ffbb00,#9c9c9c
Ivy League,#01563f,,
Jackson State Tigers,#002147,#898d8d,
Jacksonville Dolphins,#004e42,#c5b783,
Jacksonville State Gamecocks,#cc0000,#000000,
James Madison Dukes,#450084,#cbb677,
John Carroll Blue Streaks,#28334a,#b9975b,
Johns Hopkins Blue Jays,#68ace5,#000000,#000000
Johnson & Wales Wildcats,#004680,#eaaa00,
Johnson C. Smith Golden Bulls,#002d56,#ffcf01,
Kansas City Roos,#004b87,#ffc72c,
Kansas Jayhawks,#0051ba,#e8000d,
Kansas State Wildcats,#330a57,#a7a9ac,
Kansas Wesleyan Coyotes,#5a2a82,#fec524,
Kean Cougars,#003057,#7c878e,
Keene State Owls,#c60c30,#000000,
Kennesaw State Owls,#0b1315,#fdbb30,
Kent State Golden Flashes,#002664,#efab00,
Kentucky State Thorobreds,#046a38,#ffd100,
Kentucky Wildcats,#0033a0,#c8c9c7,
King's Monarchs,#cc0033,#000000,#ffcd00
Kutztown Golden Bears,#782f40,#a49473,
LIU Brooklyn Blackbirds,#231f20,#8a8d8f,
LIU Post Pioneers,#0e553f,#edaa00,
LIU Sharks,#69b3e7,#ffc72c,#000000
LSU Tigers,#461d7c,#fdd023,
La Salle Explorers,#003057,#f1c400,
Lafayette Leopards,#910029,#000000,
Lake Erie Storm,#113d2a,#000000,
Lake Forest Foresters,#c8102e,#8b784a,#000000
Lake Superior State Lakers,#003f87,#ffc61e,
Lamar Cardinals,#e31937,#000000,
Lander Bearcats,#235782,#f8e463,
Lane Dragons,#000080,#990000,
Langston Lions,#1b3668,#f2682a,
Lawrence Vikings,#003d6a,#231f20,
Le Moyne Dolphins,#00452a,#fff30d,
LeMoyne–Owen Magicians,#421383,#988344,
Lebanon Valley Flying Dutchmen,#00305c,#b2b4b3,
Lee Flames,#0d233f,#6f263d,
Lehigh Mountain Hawks,#653819,#c2a875,
Lewis Flyers,#ed174d,#000000,
Liberty Flames,#0a254e,#990000,
Limestone Saints,#0033a1,#fde021,
Lincoln Blue Tigers,#211c41,#929396,
Lincoln Memorial Railsplitters,#002461,#d1d1cc,
Lindenwood Lions,#000000,#dcd087,
Lipscomb Bisons,#331e54,#f4aa00,
Little Rock Trojans,#6e2639,#a7a9ac,
Lock Haven Bald Eagles,#7a0026,#231f20,
Lone Star Conference,#002169,#e1251b,
Long Beach State Beach,#000000,#ecaa00,
